"0","0","-0","0","0.304138","0.8",
"0","0","-0","1","0.0033638","0.0105223",
"0","1","0","0","0.111803","0.8",
"0","1","0","1","0.00640899","0.0105223",
"0","2","0","0","0.00264592","0.0507135",
"0","2","0","1","0.00731707","0.016955",
"0","3","0","0","0.00264594","0.0507135",
"0","3","0","1","0.00858462","0.016955",
"0","4","-0","0","0.304138","0.65",
"0","4","-0","1","0.0419275","0.140414",
"0","5","0","0","0.111803","0.65",
"0","5","0","1","0.111803","0.65",
"0","6","-0","0","0.00100674","0.0408479",
"0","6","-0","1","0.00928784","0.0141054",
"0","7","0","0","0.00225109","0.0408479",
"0","7","0","1","0.00520682","0.0362422",
"1","0","-0","0","0.000880343","0.0105223",
"1","0","-0","1","0.000880343","0.0105223",
"1","1","-0","0","0.00300461","0.0578028",
"1","1","-0","1","0.00300461","0.0578028",
"1","2","0","0","0.00366569","0.0437404",
"1","2","0","1","0.00366569","0.0437404",
"1","3","0","0","0.00300833","0.0507135",
"1","3","0","1","0.00300833","0.0507135",
"1","4","0","0","0.304138","0.65",
"1","4","0","1","0.304138","0.65",
"1","5","-0","0","0.111803","0.65",
"1","5","-0","1","0.111803","0.65",
"1","6","0","0","0.00286713","0.0408479",
"1","6","0","1","0.00286713","0.0408479",
"1","7","0","0","0.00213669","0.0455158",
"1","7","0","1","0.00213669","0.0455158",
"2","0","-0","0","0.00196851","0.0105223",
"2","0","-0","1","0.0012195","0.0368807",
"2","1","0","0","0.00486982","0.0105223",
"2","1","0","1","0.00347317","0.0368807",
"2","2","0","0","0.0051783","0.0105223",
"2","2","0","1","0.000406533","0.0368807",
"2","3","0","0","0.00645715","0.0105223",
"2","3","0","1","0.00327735","0.0368807",
"2","4","-0","0","0.0020271","0.00984828",
"2","4","-0","1","0.00463918","0.0599058",
"2","5","-0","0","0.00453274","0.00984828",
"2","5","-0","1","0.00317914","0.0599058",
"2","6","-0","0","0.00608128","0.00984828",
"2","6","-0","1","0.00120993","0.0408479",
"2","7","-0","0","0.0073088","0.00984828",
"2","7","-0","1","0.00225109","0.0408479",
